client_id,bureau_account_id,account_type,opened_days_ago,credit_limit,current_balance,max_dpd_last_12m,bureau_status
43,B43_116,consumer,1485.0,58027.16,20940.32,0.0,closed
43,B43_117,mortgage,1763.0,148152.96,58325.47,60.0,active
44,B44_118,microloan,934.0,35958.34,4720.04,,active
45,B45_119,auto,1510.0,64954.35,39617.09,3.0,active
45,B45_120,mortgage,921.0,43019.21,14296.76,15.0,active
45,B45_121,credit_card,1699.0,136068.38,19399.46,7.0,closed
45,B45_122,credit_card,270.0,56170.06,15525.09,7.0,active
46,B46_123,consumer,1023.0,76725.96,54151.11,0.0,active
47,B47_124,mortgage,671.0,55096.51,37059.76,0.0,active
48,B48_125,credit_card,1686.0,134161.08,63700.45,15.0,active
48,B48_126,consumer,2043.0,63448.73,50123.55,0.0,closed
49,B49_127,credit_card,529.0,98612.36,45840.2,0.0,closed
49,B49_128,credit_card,1241.0,33592.01,12876.16,0.0,active
50,B50_129,mortgage,1987.0,75107.17,28836.35,30.0,active
50,B50_130,microloan,1529.0,43372.84,22367.08,0.0,active
50,B50_131,credit_card,2760.0,55162.76,37340.63,60.0,closed
51,B51_132,credit_card,1413.0,110293.53,46457.49,0.0,closed
51,B51_133,microloan,2343.0,116622.71,87448.6,0.0,active
51,B51_134,auto,76.0,61670.41,54499.15,7.0,active
51,B51_135,mortgage,470.0,68090.59,5330.22,1.0,active
51,B51_136,auto,293.0,113916.83,23089.18,,
52,B52_137,consumer,2026.0,45571.77,16884.0,0.0,active
52,B52_138,auto,2369.0,49001.18,19528.42,0.0,closed
52,B52_139,credit_card,1841.0,35076.72,18704.89,30.0,active
54,B54_140,microloan,791.0,27765.74,3133.79,0.0,active
55,B55_141,auto,2037.0,48045.77,6378.95,7.0,active
55,B55_142,credit_card,1249.0,324844.01,56200.09,0.0,active
55,B55_143,credit_card,300.0,161214.27,65678.01,0.0,closed
56,B56_144,consumer,596.0,30493.04,4696.47,15.0,closed
57,B57_145,consumer,1159.0,87571.06,64043.71,3.0,active
57,B57_146,consumer,2717.0,38844.84,16076.59,30.0,closed
58,B58_147,consumer,2138.0,163342.05,68160.74,0.0,active
59,B59_148,microloan,1755.0,34764.56,15175.47,30.0,closed
60,B60_149,credit_card,275.0,147957.67,27576.88,7.0,active
60,B60_150,credit_card,2479.0,44121.63,26408.06,0.0,active
60,B60_151,consumer,1850.0,123261.6,36050.3,30.0,active
61,B61_152,credit_card,609.0,29180.81,8370.59,1.0,active
61,B61_153,credit_card,415.0,136864.91,50958.34,0.0,active
61,B61_154,credit_card,2664.0,16231.18,7402.43,0.0,
62,B62_155,consumer,2361.0,88772.54,79984.82,0.0,closed
62,B62_156,microloan,412.0,50470.29,7329.42,0.0,active
63,B63_157,credit_card,1699.0,43738.93,17453.49,1.0,closed
63,B63_158,microloan,821.0,28401.88,12432.31,15.0,
63,B63_159,credit_card,2382.0,45161.33,15239.98,0.0,active
63,B63_160,credit_card,2392.0,50691.22,26772.86,1.0,active
63,B63_161,consumer,2543.0,64583.42,60686.8,0.0,closed
64,B64_162,consumer,1072.0,105323.8,13022.87,30.0,active
64,B64_163,credit_card,2206.0,54979.58,22806.1,0.0,closed
64,B64_164,consumer,2359.0,245871.21,200156.2,0.0,active
65,B65_165,,619.0,,28950.55,30.0,active
65,B65_166,credit_card,109.0,,43155.7,3.0,active
65,B65_167,credit_card,2581.0,37312.02,13916.06,7.0,active
66,B66_168,microloan,1431.0,30067.23,20744.65,0.0,active
66,B66_169,consumer,1335.0,120634.84,72614.28,0.0,closed
66,B66_170,credit_card,2254.0,64609.08,32738.92,0.0,active
66,B66_171,mortgage,1116.0,107313.39,55185.62,60.0,active
67,B67_172,microloan,1437.0,85416.93,30025.89,0.0,closed
67,B67_173,consumer,2273.0,134305.06,88008.08,0.0,active
68,B68_174,credit_card,2233.0,71156.23,12758.5,0.0,closed
69,B69_175,consumer,1315.0,92859.34,57187.45,1.0,active
69,B69_176,credit_card,1678.0,105665.68,18677.85,0.0,active
69,B69_177,credit_card,560.0,38479.13,14327.62,90.0,active
69,B69_178,consumer,2932.0,34720.96,17504.76,0.0,closed
69,B69_179,consumer,2412.0,96706.64,25831.05,30.0,active
69,B69_180,consumer,1046.0,147747.37,39387.01,0.0,active
70,B70_181,credit_card,2294.0,56847.11,16733.54,0.0,active
70,B70_182,,,107126.34,26282.3,15.0,closed
70,B70_183,credit_card,417.0,30002.17,2488.82,0.0,active
70,B70_184,credit_card,381.0,27360.72,12534.63,0.0,active
71,B71_185,consumer,2896.0,72036.07,13536.6,0.0,active
71,B71_186,credit_card,2165.0,233425.49,88627.17,7.0,active
72,B72_187,credit_card,2143.0,20529.55,16215.97,15.0,closed
72,B72_188,microloan,2481.0,143000.81,69938.81,0.0,closed
72,B72_189,auto,2697.0,110363.3,89924.48,30.0,closed
73,B73_190,mortgage,1403.0,154992.52,79069.33,0.0,active
73,B73_191,mortgage,2426.0,139742.21,109201.29,3.0,closed
73,B73_192,consumer,2983.0,42725.96,37236.78,3.0,closed
74,B74_193,credit_card,705.0,235025.93,13014.2,1.0,closed
74,B74_194,,849.0,37000.87,12154.71,,
75,B75_195,credit_card,346.0,65889.07,48783.67,30.0,active
75,B75_196,credit_card,2308.0,49195.33,13271.95,60.0,active
75,B75_197,microloan,2511.0,40300.69,13864.08,15.0,active
75,B75_198,auto,1893.0,55325.84,19501.57,1.0,active
75,B75_199,consumer,2987.0,34359.54,21974.99,0.0,active
76,B76_200,credit_card,2208.0,132153.99,92180.77,0.0,active
76,B76_201,microloan,2494.0,60446.29,31915.18,0.0,active
76,B76_202,auto,495.0,164762.52,54094.56,7.0,active
76,B76_203,microloan,2229.0,131254.26,24228.33,0.0,active
76,B76_204,credit_card,1449.0,48856.58,20733.0,0.0,active
76,B76_205,credit_card,641.0,70487.58,24035.76,0.0,active
77,B77_206,credit_card,629.0,80641.78,33410.48,7.0,active
77,B77_207,consumer,1836.0,103138.15,53916.35,0.0,active
77,B77_208,credit_card,518.0,52297.7,848.47,0.0,active
77,B77_209,credit_card,1194.0,67215.85,31235.98,0.0,closed
77,B77_210,consumer,1623.0,184722.48,42998.16,3.0,active
77,B77_211,consumer,2012.0,44400.08,8503.74,30.0,closed
78,B78_212,microloan,763.0,121252.99,75529.41,15.0,
78,B78_213,consumer,2425.0,48901.42,13395.7,0.0,active
78,B78_214,credit_card,361.0,24059.48,11991.79,0.0,closed
78,B78_215,consumer,2950.0,49425.39,27840.19,60.0,active
79,B79_216,consumer,2311.0,127980.46,82614.11,,active
79,B79_217,credit_card,383.0,,46211.54,3.0,active
80,B80_218,credit_card,1235.0,,24906.78,7.0,active
81,B81_219,consumer,1797.0,43962.96,24555.54,3.0,active
81,B81_220,credit_card,126.0,36337.06,20926.03,3.0,active
81,B81_221,consumer,246.0,57602.04,38664.86,0.0,active
82,B82_222,credit_card,431.0,108957.36,44333.28,0.0,active
82,B82_223,credit_card,2989.0,102200.5,38273.85,0.0,closed
83,B83_224,consumer,2345.0,39726.84,15861.4,0.0,
83,B83_225,credit_card,1813.0,9595.16,2858.54,3.0,active
83,B83_226,mortgage,2449.0,53983.5,12777.95,15.0,active
84,B84_227,microloan,515.0,55258.75,25538.5,0.0,active
85,B85_228,consumer,2185.0,65272.68,42131.45,0.0,active
85,B85_229,microloan,1020.0,101811.84,25952.02,0.0,active
85,B85_230,consumer,1199.0,54000.29,13305.94,60.0,active
86,B86_231,auto,782.0,49765.03,5409.81,0.0,closed
86,B86_232,microloan,2299.0,25157.74,3003.89,0.0,
86,B86_233,credit_card,182.0,39307.69,20077.47,0.0,active
86,B86_234,consumer,2328.0,59565.29,28121.29,7.0,closed
86,B86_235,auto,1720.0,91424.09,61114.08,0.0,active
87,B87_236,credit_card,533.0,69773.48,49313.81,0.0,closed
87,B87_237,microloan,2091.0,26319.93,17017.84,0.0,active
87,B87_238,consumer,306.0,65753.33,17809.13,30.0,closed
87,B87_239,credit_card,1207.0,21538.45,9292.83,3.0,active
87,B87_240,credit_card,1279.0,93776.92,71332.39,0.0,active
87,B87_241,credit_card,2659.0,99434.42,39087.38,0.0,active
88,B88_242,credit_card,1282.0,68717.32,58690.87,30.0,active
88,B88_243,credit_card,2196.0,,31580.32,7.0,
88,B88_244,consumer,2305.0,30412.72,6639.61,7.0,active
89,B89_245,auto,2206.0,338147.71,142264.95,0.0,active
89,B89_246,credit_card,469.0,19329.05,1861.01,7.0,active
89,B89_247,,2855.0,25713.41,,7.0,closed
90,B90_248,consumer,2559.0,42183.08,15427.25,0.0,closed
90,B90_249,consumer,1935.0,72271.06,9855.4,0.0,closed
90,B90_250,consumer,2041.0,34007.57,7471.68,15.0,closed
90,B90_251,credit_card,2411.0,42712.81,3046.44,3.0,active
91,B91_252,consumer,198.0,14963.61,6390.51,15.0,closed
91,B91_253,credit_card,1672.0,26066.69,6549.9,7.0,active
92,B92_254,microloan,916.0,116911.03,57816.24,60.0,active
92,B92_255,auto,2574.0,107441.72,66646.59,0.0,closed
92,B92_256,microloan,465.0,164176.25,27705.6,0.0,active
92,B92_257,microloan,654.0,64157.31,29216.19,0.0,active
93,B93_258,credit_card,969.0,,36852.24,0.0,
93,B93_259,consumer,2164.0,57051.98,16157.56,0.0,active
93,B93_260,credit_card,2498.0,138534.86,99430.47,7.0,active
93,B93_261,,908.0,18861.63,10785.74,0.0,
93,B93_262,mortgage,670.0,42795.04,8068.81,0.0,active
93,B93_263,auto,1892.0,20430.18,15219.33,15.0,active
94,B94_264,credit_card,1578.0,126138.39,46391.93,0.0,active
94,B94_265,credit_card,2174.0,109917.66,32628.31,0.0,active
94,B94_266,credit_card,338.0,38664.18,14702.38,1.0,active
94,B94_267,credit_card,842.0,85800.68,28413.45,1.0,active
94,B94_268,consumer,673.0,103291.14,29998.65,7.0,active
95,B95_269,auto,1345.0,87253.91,32145.72,0.0,active
95,B95_270,microloan,2191.0,57949.97,24897.48,0.0,active
95,B95_271,consumer,1317.0,88158.77,62228.77,15.0,active
96,B96_272,credit_card,2599.0,45235.41,14206.02,0.0,closed
96,B96_273,consumer,1111.0,41278.39,20565.34,,closed
96,B96_274,auto,,,12118.03,0.0,
96,B96_275,microloan,2990.0,73832.99,18356.69,3.0,active
96,B96_276,credit_card,794.0,108836.41,30918.3,0.0,active
97,B97_277,auto,1398.0,109957.4,54352.33,0.0,active
97,B97_278,consumer,2241.0,46090.77,,3.0,closed
98,B98_279,consumer,363.0,34589.45,10903.15,0.0,closed
99,B99_280,credit_card,1304.0,44070.97,26515.35,,active
100,B100_281,consumer,2018.0,36696.52,8593.68,30.0,active
100,B100_282,microloan,2224.0,113758.22,30318.53,0.0,active
100,B100_283,credit_card,465.0,128901.66,45215.99,0.0,closed
101,B101_284,consumer,1398.0,265069.35,114160.88,15.0,active
102,B102_285,credit_card,2972.0,56277.67,35857.98,60.0,active
102,B102_286,consumer,320.0,257993.01,181651.29,15.0,active
103,B103_287,auto,2855.0,71419.67,39334.61,30.0,active
103,B103_288,microloan,2397.0,41798.52,18775.45,1.0,active
103,B103_289,consumer,2280.0,34375.61,7434.22,0.0,active
103,B103_290,auto,2636.0,50601.37,9818.41,3.0,closed
103,B103_291,auto,575.0,120283.73,78098.77,3.0,active
104,B104_292,credit_card,2036.0,75394.45,39722.22,1.0,active
104,B104_293,consumer,316.0,38429.25,7739.6,0.0,active
105,B105_294,microloan,1631.0,,22110.41,0.0,closed
106,B106_295,credit_card,679.0,50287.9,41399.08,3.0,active
106,B106_296,consumer,2371.0,372204.76,220458.94,1.0,active
106,B106_297,consumer,2235.0,19015.18,10734.52,0.0,active
106,B106_298,microloan,2358.0,128022.27,51469.07,0.0,closed
106,B106_299,credit_card,336.0,40926.07,21717.69,1.0,closed
106,B106_300,credit_card,2799.0,,9577.92,0.0,active
107,B107_301,credit_card,2838.0,21437.04,17202.19,0.0,closed
107,B107_302,consumer,1606.0,,8896.77,0.0,closed
107,B107_303,consumer,1718.0,,20015.24,0.0,closed
107,B107_304,credit_card,165.0,55356.08,21402.55,15.0,active
107,B107_305,consumer,2832.0,,13668.64,,active
107,B107_306,credit_card,1532.0,39656.45,15691.23,0.0,closed
107,B107_307,mortgage,2570.0,108544.06,77332.42,7.0,active
108,B108_308,credit_card,2120.0,104807.79,45512.1,3.0,active
108,B108_309,consumer,1199.0,69213.45,59272.88,60.0,closed
108,B108_310,microloan,914.0,69929.25,43534.98,30.0,active
108,B108_311,auto,1568.0,48162.05,9158.52,7.0,active
109,B109_312,credit_card,2090.0,33224.77,6133.0,,active
109,B109_313,microloan,2980.0,29669.95,8246.37,,closed
109,B109_314,credit_card,971.0,81108.93,50350.89,0.0,closed
109,B109_315,,1351.0,19538.7,8161.86,0.0,active
110,B110_316,consumer,1170.0,259383.85,62782.33,0.0,closed
110,B110_317,consumer,2599.0,,81305.89,15.0,closed
110,B110_318,credit_card,455.0,24393.6,12430.25,3.0,active
111,B111_319,credit_card,1586.0,71129.69,13102.96,7.0,active
112,B112_320,consumer,2837.0,53232.83,18002.96,30.0,closed
112,B112_321,credit_card,2139.0,650302.21,332198.02,15.0,active
112,B112_322,microloan,1396.0,24149.74,10795.69,90.0,closed
113,B113_323,,164.0,89863.97,15822.17,7.0,closed
113,B113_324,credit_card,2366.0,78889.6,27135.3,30.0,closed
114,B114_325,consumer,137.0,225579.86,140666.94,7.0,active
114,B114_326,credit_card,798.0,27578.87,6601.92,30.0,active
115,B115_327,credit_card,558.0,60270.11,22084.09,7.0,
116,B116_328,credit_card,250.0,88819.82,70302.82,1.0,active
116,B116_329,mortgage,60.0,44917.19,12645.11,7.0,closed
116,B116_330,microloan,1623.0,153088.82,56963.06,0.0,
116,B116_331,consumer,2612.0,59409.39,52440.86,0.0,active
116,B116_332,credit_card,2206.0,95518.0,20565.09,60.0,closed
117,B117_333,mortgage,2235.0,60308.1,8714.38,0.0,closed
117,B117_334,mortgage,374.0,75707.47,35103.32,0.0,active
117,B117_335,,491.0,20348.54,10765.66,7.0,active
117,B117_336,credit_card,1948.0,68425.01,30404.1,1.0,
117,B117_337,microloan,404.0,66654.78,35828.23,0.0,closed
117,B117_338,credit_card,1297.0,20365.81,4011.93,3.0,active
118,B118_339,credit_card,2492.0,134710.67,40119.22,3.0,active
118,B118_340,consumer,2779.0,126906.05,67762.31,1.0,closed
118,B118_341,mortgage,671.0,99154.38,6486.74,3.0,closed
118,B118_342,credit_card,2839.0,160415.29,50395.67,3.0,active
118,B118_343,consumer,2891.0,60217.46,31527.08,0.0,
118,B118_344,mortgage,117.0,27075.85,4070.51,0.0,closed
119,B119_345,credit_card,2747.0,30006.32,10757.79,3.0,closed
119,B119_346,credit_card,366.0,57265.5,33592.2,0.0,active
119,B119_347,consumer,2279.0,80612.62,28163.22,0.0,closed
120,B120_348,credit_card,1212.0,92411.84,66529.12,0.0,
120,B120_349,mortgage,2898.0,192926.07,96676.75,0.0,active
120,B120_350,credit_card,1327.0,34960.25,13230.91,1.0,active
120,B120_351,microloan,352.0,,44227.12,0.0,active
121,B121_352,credit_card,2218.0,131782.63,90979.22,0.0,closed
121,B121_353,consumer,2391.0,51957.98,29599.04,0.0,active
121,B121_354,consumer,685.0,52550.9,22646.49,0.0,active
122,B122_355,consumer,961.0,51731.33,23801.56,15.0,active
122,B122_356,credit_card,1138.0,,25310.36,15.0,active
122,B122_357,auto,2748.0,57852.37,28122.11,1.0,closed
124,B124_358,,2037.0,22078.36,4452.32,0.0,closed
125,B125_359,,791.0,50730.72,13104.48,15.0,active
125,B125_360,credit_card,2208.0,25607.88,2545.04,1.0,closed
125,B125_361,mortgage,772.0,203973.64,142960.32,3.0,active
125,B125_362,consumer,2165.0,38470.69,14805.43,0.0,active
125,B125_363,microloan,,196789.41,77711.16,0.0,active
125,B125_364,consumer,2288.0,135322.7,28492.92,15.0,
126,B126_365,auto,1964.0,17994.96,3376.78,7.0,closed
126,B126_366,consumer,1165.0,86411.97,,0.0,active
126,B126_367,microloan,724.0,43270.91,4275.48,30.0,active
126,B126_368,microloan,775.0,32947.1,2210.89,1.0,active
127,B127_369,credit_card,856.0,172386.34,36153.48,30.0,active
127,B127_370,consumer,1329.0,31606.49,10046.15,7.0,closed
127,B127_371,,1947.0,105002.89,44306.98,0.0,active
127,B127_372,consumer,2310.0,86004.98,30783.35,7.0,active
127,B127_373,credit_card,2176.0,68807.77,18181.89,15.0,active
127,B127_374,microloan,1194.0,54387.23,41573.45,1.0,closed
127,B127_375,auto,2345.0,49314.73,33674.07,,active
128,B128_376,consumer,1482.0,99728.08,42230.81,0.0,active
129,B129_377,consumer,2509.0,83525.31,26056.04,7.0,active
129,B129_378,consumer,2695.0,120591.79,45547.01,,active
129,B129_379,credit_card,1599.0,70611.42,65783.4,7.0,closed
129,B129_380,credit_card,1140.0,33633.58,14398.07,0.0,closed
129,B129_381,auto,2024.0,62753.05,30298.83,90.0,active
130,B130_382,auto,1718.0,106460.95,56339.65,0.0,active
130,B130_383,microloan,2156.0,48603.76,18750.49,3.0,active
130,B130_384,credit_card,1131.0,33957.42,11382.87,15.0,active
130,B130_385,consumer,2347.0,121285.64,35968.16,0.0,closed
131,B131_386,auto,2857.0,39567.91,13377.36,,closed
131,B131_387,credit_card,1967.0,50826.29,14858.2,0.0,active
131,B131_388,mortgage,1166.0,24935.83,2400.69,0.0,active
131,B131_389,,1604.0,21941.3,12446.09,0.0,
132,B132_390,credit_card,2429.0,41832.2,32444.55,0.0,active
132,B132_391,mortgage,789.0,,24747.73,3.0,active
132,B132_392,consumer,2620.0,32778.53,7327.47,0.0,active
132,B132_393,auto,106.0,20380.69,7881.27,30.0,closed
133,B133_394,auto,1292.0,201813.32,141064.18,0.0,active
134,B134_395,credit_card,2505.0,104991.54,10753.03,0.0,closed
135,B135_396,microloan,2846.0,25881.88,8934.84,15.0,closed
136,B136_397,credit_card,2049.0,41011.73,35313.83,1.0,closed
136,B136_398,credit_card,1496.0,48658.28,1933.35,15.0,active
137,B137_399,,2924.0,31278.83,4973.39,0.0,closed
138,B138_400,consumer,1537.0,133987.07,50216.02,,closed
139,B139_401,microloan,625.0,15059.79,8231.71,15.0,active
139,B139_402,auto,985.0,69526.58,15368.58,0.0,active
139,B139_403,mortgage,2586.0,47465.84,13926.3,0.0,closed
140,B140_404,consumer,2656.0,61897.27,5924.48,15.0,active
140,B140_405,auto,156.0,95180.48,61077.49,0.0,active
141,B141_406,consumer,68.0,67932.25,41922.41,15.0,closed
141,B141_407,consumer,2284.0,73338.5,11651.98,0.0,active
141,B141_408,consumer,,111849.6,30774.4,15.0,active
141,B141_409,consumer,2367.0,67396.79,7510.91,0.0,closed
142,B142_410,consumer,1338.0,35052.1,4771.87,0.0,closed
142,B142_411,consumer,322.0,180197.76,52297.52,0.0,closed
142,B142_412,,399.0,24133.88,1328.45,0.0,closed
142,B142_413,microloan,1453.0,43114.74,3593.81,,active
142,B142_414,mortgage,131.0,53258.29,14606.89,0.0,active
143,B143_415,mortgage,1853.0,21742.25,5822.13,60.0,active
143,B143_416,credit_card,2715.0,33725.56,5936.24,0.0,active
143,B143_417,consumer,829.0,47568.96,35424.43,0.0,closed
144,B144_418,auto,1377.0,58867.07,11482.34,0.0,active
145,B145_419,auto,1405.0,131468.54,98754.3,30.0,active
146,B146_420,mortgage,1046.0,47837.62,8735.48,0.0,closed
146,B146_421,credit_card,797.0,54840.96,22258.28,0.0,closed
146,B146_422,credit_card,2000.0,74691.05,62488.63,0.0,active
146,B146_423,,549.0,33554.97,20770.81,7.0,active
147,B147_424,microloan,1829.0,34865.09,23335.37,0.0,active
148,B148_425,credit_card,2784.0,160494.3,50441.0,0.0,active
148,B148_426,auto,2292.0,93294.0,36980.97,3.0,closed
148,B148_427,credit_card,1449.0,68404.15,46324.21,30.0,active
148,B148_428,auto,1242.0,70219.79,,0.0,active
149,B149_429,microloan,735.0,54407.11,6958.85,1.0,active
149,B149_430,microloan,2750.0,15031.61,5829.75,7.0,active
149,B149_431,consumer,1950.0,,35681.07,0.0,active
150,B150_432,credit_card,1700.0,41084.13,23017.48,1.0,closed
150,B150_433,mortgage,937.0,92755.17,60518.25,1.0,active
150,B150_434,auto,1902.0,62257.54,13171.66,30.0,closed
151,B151_435,credit_card,1364.0,43978.53,4930.42,3.0,active
151,B151_436,microloan,471.0,38252.87,19368.95,0.0,active
151,B151_437,auto,658.0,45076.72,4452.82,,active
