client_id,previous_loan_id,previous_amount,previous_term_months,closed_days_ago,was_overdue,max_overdue_days
58,L58_82,79917.18,12.0,315.0,1.0,60.0
59,L59_83,18588.19,6.0,953.0,0.0,0.0
60,L60_84,133771.81,3.0,1381.0,0.0,0.0
63,L63_85,52760.71,9.0,44.0,0.0,0.0
63,L63_86,89460.08,36.0,641.0,0.0,0.0
64,L64_87,,18.0,759.0,0.0,0.0
64,L64_88,101827.66,9.0,1262.0,0.0,0.0
65,L65_89,26080.44,6.0,267.0,1.0,30.0
65,L65_90,65065.55,36.0,1310.0,0.0,0.0
66,L66_91,287359.3,9.0,192.0,0.0,0.0
67,L67_92,32463.14,12.0,108.0,0.0,
67,L67_93,66452.18,18.0,1202.0,0.0,0.0
68,L68_94,28481.52,12.0,777.0,0.0,0.0
68,L68_95,45469.27,36.0,328.0,0.0,0.0
70,L70_96,55691.84,3.0,569.0,0.0,0.0
71,L71_97,35338.26,3.0,1563.0,1.0,15.0
71,L71_98,13655.61,36.0,1091.0,0.0,0.0
72,L72_99,58466.22,6.0,370.0,0.0,0.0
72,L72_100,75841.15,24.0,407.0,0.0,0.0
72,L72_101,46230.63,3.0,1487.0,0.0,0.0
74,L74_102,30290.13,9.0,438.0,0.0,0.0
74,L74_103,36152.46,,688.0,1.0,3.0
75,L75_104,25188.84,12.0,733.0,0.0,0.0
75,L75_105,77812.92,3.0,1051.0,0.0,0.0
75,L75_106,57414.28,24.0,432.0,0.0,0.0
76,L76_107,15575.41,6.0,1306.0,1.0,7.0
79,L79_108,41677.55,,1407.0,0.0,0.0
80,L80_109,,36.0,531.0,0.0,0.0
81,L81_110,43266.08,18.0,1080.0,0.0,0.0
81,L81_111,178601.78,9.0,953.0,0.0,0.0
85,L85_112,83474.11,6.0,869.0,1.0,1.0
85,L85_113,64871.5,12.0,140.0,0.0,0.0
86,L86_114,50176.64,9.0,1308.0,0.0,0.0
86,L86_115,96481.82,6.0,1392.0,0.0,0.0
87,L87_116,86583.48,9.0,1181.0,0.0,0.0
88,L88_117,44764.21,24.0,548.0,0.0,0.0
89,L89_118,83166.29,3.0,1333.0,0.0,0.0
89,L89_119,53101.72,24.0,1579.0,1.0,
90,L90_120,43438.78,12.0,1089.0,1.0,1.0
91,L91_121,34647.31,36.0,374.0,0.0,0.0
92,L92_122,17024.98,9.0,1080.0,0.0,0.0
92,L92_123,44969.35,3.0,820.0,0.0,0.0
92,L92_124,30557.05,6.0,136.0,1.0,30.0
93,L93_125,50948.41,9.0,437.0,0.0,0.0
96,L96_126,29138.26,6.0,978.0,0.0,0.0
97,L97_127,41084.99,3.0,320.0,0.0,0.0
97,L97_128,21244.02,24.0,344.0,0.0,0.0
97,L97_129,45833.01,36.0,79.0,1.0,90.0
97,L97_130,44952.15,9.0,363.0,0.0,0.0
99,L99_131,41570.28,36.0,849.0,0.0,0.0
99,L99_132,25264.19,36.0,957.0,1.0,1.0
100,L100_133,31163.9,3.0,1437.0,0.0,0.0
101,L101_134,47518.44,24.0,398.0,1.0,60.0
101,L101_135,62224.55,9.0,212.0,0.0,0.0
101,L101_136,,9.0,207.0,0.0,0.0
104,L104_137,,12.0,1198.0,0.0,0.0
108,L108_138,55340.02,9.0,927.0,0.0,0.0
110,L110_139,75944.8,,706.0,0.0,0.0
112,L112_140,84432.48,,634.0,1.0,7.0
112,L112_141,36337.14,18.0,1555.0,0.0,0.0
112,L112_142,51743.81,3.0,957.0,0.0,
113,L113_143,38542.51,12.0,397.0,0.0,
114,L114_144,68710.81,36.0,1561.0,0.0,0.0
114,L114_145,58047.58,9.0,930.0,0.0,0.0
114,L114_146,41586.65,36.0,367.0,0.0,0.0
114,L114_147,38238.88,12.0,220.0,1.0,1.0
118,L118_148,,3.0,1038.0,0.0,0.0
118,L118_149,48633.25,18.0,1575.0,1.0,60.0
118,L118_150,27482.11,6.0,319.0,0.0,0.0
119,L119_151,30159.26,3.0,40.0,1.0,30.0
119,L119_152,34921.27,24.0,1081.0,0.0,0.0
120,L120_153,71147.67,18.0,1432.0,0.0,0.0
121,L121_154,69714.01,3.0,652.0,0.0,0.0
121,L121_155,84026.28,12.0,,0.0,0.0
122,L122_156,53246.37,24.0,,0.0,0.0
123,L123_157,13240.62,,107.0,1.0,7.0
123,L123_158,51329.02,12.0,177.0,1.0,30.0
124,L124_159,53394.65,9.0,1196.0,0.0,0.0
125,L125_160,60718.45,3.0,84.0,1.0,7.0
125,L125_161,37345.95,24.0,345.0,0.0,
125,L125_162,56931.41,6.0,1592.0,0.0,
126,L126_163,18312.01,9.0,1501.0,0.0,0.0
127,L127_164,67505.19,36.0,,0.0,0.0
128,L128_165,27891.97,18.0,723.0,0.0,0.0
128,L128_166,22024.77,12.0,1494.0,,0.0
128,L128_167,67018.86,3.0,732.0,0.0,0.0
128,L128_168,104201.78,,1239.0,0.0,0.0
130,L130_169,52623.53,6.0,1025.0,0.0,0.0
132,L132_170,70020.85,24.0,525.0,0.0,0.0
133,L133_171,40142.46,36.0,711.0,0.0,0.0
133,L133_172,35739.37,36.0,1348.0,0.0,0.0
134,L134_173,22633.73,12.0,193.0,0.0,0.0
134,L134_174,56403.16,9.0,1245.0,,7.0
136,L136_175,32530.03,9.0,1285.0,0.0,0.0
137,L137_176,24275.16,24.0,1011.0,1.0,3.0
137,L137_177,30692.8,24.0,790.0,0.0,0.0
138,L138_178,166434.33,6.0,207.0,0.0,0.0
138,L138_179,46664.61,36.0,397.0,0.0,0.0
138,L138_180,19027.12,,234.0,0.0,0.0
138,L138_181,72470.17,3.0,575.0,,0.0
138,L138_182,20842.2,9.0,156.0,1.0,15.0
139,L139_183,93676.94,,1205.0,0.0,0.0
140,L140_184,40897.66,12.0,815.0,0.0,0.0
140,L140_185,19076.46,18.0,34.0,0.0,0.0
141,L141_186,57731.58,9.0,266.0,0.0,0.0
141,L141_187,12470.29,3.0,363.0,0.0,0.0
142,L142_188,58116.24,3.0,1327.0,0.0,0.0
143,L143_189,41354.23,3.0,240.0,0.0,0.0
144,L144_190,15292.64,24.0,1353.0,0.0,0.0
145,L145_191,11370.62,24.0,981.0,1.0,15.0
145,L145_192,26722.05,9.0,1559.0,0.0,0.0
145,L145_193,22074.78,36.0,1510.0,1.0,7.0
148,L148_194,22495.06,3.0,1112.0,0.0,0.0
148,L148_195,102834.63,12.0,593.0,1.0,1.0
148,L148_196,35406.21,12.0,1467.0,0.0,0.0
149,L149_197,21221.9,24.0,1349.0,1.0,
149,L149_198,54653.16,6.0,528.0,0.0,0.0
149,L149_199,63913.55,3.0,937.0,0.0,0.0
149,L149_200,146359.43,9.0,376.0,0.0,0.0
149,L149_201,81310.15,6.0,990.0,1.0,1.0
151,L151_202,100088.73,36.0,391.0,0.0,0.0
151,L151_203,73954.99,6.0,1166.0,0.0,0.0
153,L153_204,46469.04,3.0,1407.0,0.0,0.0
153,L153_205,64584.73,3.0,1591.0,0.0,0.0
153,L153_206,38484.83,9.0,746.0,0.0,0.0
155,L155_207,30643.05,12.0,525.0,0.0,0.0
156,L156_208,41933.04,6.0,1328.0,0.0,0.0
156,L156_209,51192.33,6.0,99.0,1.0,1.0
157,L157_210,,12.0,507.0,1.0,60.0
158,L158_211,61676.74,18.0,328.0,0.0,0.0
159,L159_212,45892.85,6.0,973.0,0.0,0.0
159,L159_213,50737.25,6.0,1534.0,1.0,3.0
160,L160_214,36673.61,36.0,974.0,0.0,
162,L162_215,176365.15,3.0,673.0,0.0,0.0
162,L162_216,28072.48,12.0,594.0,0.0,0.0
163,L163_217,64958.77,6.0,1484.0,0.0,0.0
163,L163_218,57295.21,9.0,365.0,0.0,0.0
164,L164_219,96122.83,12.0,295.0,0.0,0.0
165,L165_220,48208.03,9.0,959.0,0.0,0.0
166,L166_221,30493.34,,1559.0,0.0,0.0
166,L166_222,60937.11,6.0,805.0,1.0,1.0
167,L167_223,47899.53,36.0,338.0,0.0,0.0
169,L169_224,63808.06,36.0,688.0,1.0,15.0
169,L169_225,64689.59,9.0,548.0,0.0,0.0
171,L171_226,59710.94,,520.0,1.0,7.0
171,L171_227,58750.2,12.0,1006.0,0.0,0.0
174,L174_228,41943.83,9.0,1430.0,1.0,7.0
174,L174_229,75611.2,3.0,470.0,0.0,0.0
178,L178_230,12757.47,3.0,156.0,1.0,3.0
179,L179_231,40155.59,9.0,1306.0,0.0,0.0
180,L180_232,18420.54,3.0,608.0,0.0,0.0
181,L181_233,59293.8,9.0,1071.0,0.0,0.0
181,L181_234,36649.47,24.0,1366.0,1.0,1.0
181,L181_235,42923.54,9.0,1566.0,0.0,0.0
182,L182_236,39468.69,6.0,172.0,0.0,0.0
183,L183_237,26301.96,12.0,1350.0,0.0,0.0
183,L183_238,30410.52,36.0,226.0,0.0,0.0
184,L184_239,49825.52,9.0,729.0,0.0,0.0
185,L185_240,24057.35,3.0,1561.0,0.0,0.0
185,L185_241,50126.14,18.0,1221.0,1.0,15.0
185,L185_242,140245.08,18.0,556.0,0.0,0.0
186,L186_243,70728.18,24.0,1141.0,0.0,0.0
186,L186_244,138793.03,12.0,1072.0,,1.0
187,L187_245,27183.21,3.0,240.0,0.0,0.0
188,L188_246,22514.73,36.0,595.0,0.0,0.0
188,L188_247,15399.46,18.0,1424.0,0.0,0.0
190,L190_248,50142.94,9.0,1588.0,1.0,3.0
190,L190_249,19646.14,36.0,1198.0,0.0,0.0
190,L190_250,58281.17,6.0,716.0,0.0,0.0
191,L191_251,23882.88,24.0,133.0,0.0,0.0
192,L192_252,27297.21,18.0,89.0,0.0,0.0
192,L192_253,105207.66,9.0,1037.0,0.0,0.0
192,L192_254,45972.19,24.0,523.0,0.0,0.0
193,L193_255,54991.52,3.0,550.0,0.0,0.0
193,L193_256,48730.24,24.0,380.0,0.0,0.0
193,L193_257,27171.22,24.0,914.0,0.0,0.0
193,L193_258,72383.62,24.0,438.0,0.0,0.0
194,L194_259,99548.76,,64.0,1.0,
194,L194_260,39653.62,12.0,249.0,0.0,0.0
196,L196_261,53874.4,18.0,641.0,0.0,0.0
197,L197_262,80787.7,6.0,1071.0,0.0,0.0
199,L199_263,27112.49,3.0,1266.0,0.0,0.0
199,L199_264,47185.6,3.0,153.0,0.0,0.0
199,L199_265,47663.82,12.0,504.0,0.0,0.0
200,L200_266,25178.46,12.0,1480.0,0.0,0.0
201,L201_267,53264.58,9.0,680.0,1.0,3.0
202,L202_268,364259.25,36.0,411.0,0.0,0.0
202,L202_269,76016.51,24.0,1117.0,0.0,0.0
205,L205_270,77064.11,3.0,200.0,1.0,15.0
205,L205_271,40858.51,9.0,81.0,0.0,0.0
206,L206_272,17480.91,18.0,618.0,1.0,30.0
208,L208_273,35580.02,24.0,682.0,0.0,0.0
208,L208_274,26449.55,12.0,1505.0,0.0,0.0
208,L208_275,58664.88,36.0,1097.0,0.0,0.0
209,L209_276,15770.7,36.0,,1.0,60.0
210,L210_277,107440.76,9.0,728.0,0.0,0.0
211,L211_278,55870.02,12.0,737.0,1.0,1.0
211,L211_279,33725.0,12.0,336.0,0.0,0.0
211,L211_280,61398.92,9.0,269.0,0.0,0.0
212,L212_281,28451.78,3.0,1584.0,0.0,0.0
212,L212_282,35720.37,9.0,1397.0,1.0,1.0
214,L214_283,59402.22,18.0,992.0,1.0,15.0
216,L216_284,99552.44,18.0,,0.0,0.0
216,L216_285,25434.01,12.0,834.0,0.0,0.0
217,L217_286,53757.71,24.0,1333.0,0.0,0.0
218,L218_287,80695.99,3.0,151.0,0.0,0.0
219,L219_288,69420.35,24.0,569.0,0.0,0.0
220,L220_289,48786.08,24.0,162.0,0.0,0.0
221,L221_290,105448.3,6.0,1108.0,0.0,0.0
222,L222_291,45113.53,,705.0,0.0,0.0
224,L224_292,55675.09,24.0,792.0,1.0,3.0
224,L224_293,79905.02,36.0,676.0,0.0,
225,L225_294,122603.63,6.0,1335.0,0.0,0.0
225,L225_295,61093.37,12.0,1021.0,0.0,0.0
225,L225_296,35065.68,9.0,1142.0,0.0,0.0
225,L225_297,44877.19,24.0,783.0,0.0,0.0
226,L226_298,72987.32,9.0,634.0,0.0,0.0
227,L227_299,80561.15,3.0,906.0,0.0,0.0
228,L228_300,95709.95,3.0,546.0,0.0,0.0
230,L230_301,84522.14,,951.0,0.0,0.0
232,L232_302,47214.52,18.0,1140.0,0.0,0.0
233,L233_303,21434.44,6.0,1314.0,0.0,0.0
233,L233_304,,36.0,624.0,0.0,0.0
234,L234_305,22318.92,12.0,79.0,1.0,30.0
235,L235_306,59760.18,9.0,1498.0,1.0,15.0
236,L236_307,45636.51,24.0,433.0,0.0,0.0
237,L237_308,111455.22,6.0,1217.0,0.0,0.0
237,L237_309,30947.6,24.0,132.0,,0.0
238,L238_310,60434.71,18.0,422.0,0.0,0.0
239,L239_311,100962.2,,112.0,1.0,7.0
239,L239_312,80166.11,24.0,830.0,1.0,15.0
240,L240_313,77151.61,18.0,807.0,0.0,0.0
241,L241_314,16165.67,6.0,428.0,0.0,0.0
241,L241_315,27912.47,12.0,601.0,0.0,0.0
241,L241_316,140910.27,9.0,1414.0,,0.0
241,L241_317,30183.33,12.0,967.0,0.0,0.0
242,L242_318,58209.48,6.0,556.0,0.0,0.0
242,L242_319,24045.38,18.0,367.0,0.0,0.0
242,L242_320,33694.71,36.0,797.0,1.0,1.0
243,L243_321,25378.58,24.0,447.0,1.0,15.0
243,L243_322,89138.96,6.0,1569.0,0.0,0.0
244,L244_323,40527.91,36.0,992.0,0.0,0.0
244,L244_324,98094.14,18.0,739.0,0.0,0.0
245,L245_325,18459.64,18.0,972.0,0.0,0.0
246,L246_326,99708.59,6.0,1039.0,1.0,90.0
248,L248_327,90060.56,18.0,857.0,0.0,
249,L249_328,50591.42,9.0,881.0,0.0,0.0
249,L249_329,66619.83,12.0,1283.0,0.0,0.0
249,L249_330,115479.32,18.0,818.0,0.0,0.0
250,L250_331,65904.3,12.0,63.0,0.0,0.0
250,L250_332,14063.47,3.0,,0.0,0.0
250,L250_333,140639.89,24.0,44.0,1.0,7.0
250,L250_334,25135.08,24.0,837.0,0.0,0.0
251,L251_335,19445.53,12.0,45.0,1.0,15.0
252,L252_336,71894.5,24.0,559.0,0.0,0.0
253,L253_337,113552.15,24.0,570.0,0.0,0.0
254,L254_338,39982.08,12.0,354.0,0.0,0.0
256,L256_339,19694.52,12.0,346.0,0.0,0.0
256,L256_340,52453.4,36.0,118.0,0.0,0.0
256,L256_341,46827.32,9.0,938.0,1.0,30.0
258,L258_342,14484.8,36.0,988.0,0.0,0.0
258,L258_343,96607.11,12.0,1472.0,0.0,0.0
259,L259_344,158271.48,,351.0,1.0,3.0
260,L260_345,34704.61,36.0,604.0,0.0,0.0
260,L260_346,105603.29,24.0,1378.0,0.0,0.0
261,L261_347,38418.84,,276.0,1.0,90.0
262,L262_348,23190.08,24.0,,0.0,0.0
262,L262_349,51172.96,12.0,1579.0,1.0,1.0
262,L262_350,87034.06,3.0,925.0,0.0,0.0
263,L263_351,115668.09,12.0,705.0,0.0,0.0
263,L263_352,75163.43,12.0,831.0,0.0,0.0
263,L263_353,28020.54,6.0,1419.0,,0.0
264,L264_354,65779.94,3.0,1245.0,0.0,0.0
264,L264_355,22977.09,9.0,551.0,0.0,0.0
264,L264_356,38383.36,9.0,533.0,1.0,7.0
265,L265_357,45515.64,12.0,1136.0,0.0,0.0
266,L266_358,91259.16,36.0,247.0,1.0,7.0
267,L267_359,20457.09,18.0,1522.0,1.0,3.0
268,L268_360,126486.02,6.0,197.0,0.0,0.0
268,L268_361,41664.42,3.0,63.0,0.0,0.0
269,L269_362,62324.7,6.0,1428.0,0.0,0.0
271,L271_363,36334.2,18.0,1511.0,0.0,0.0
271,L271_364,22665.21,3.0,682.0,1.0,3.0
272,L272_365,20006.77,36.0,751.0,0.0,0.0
274,L274_366,100029.39,36.0,479.0,0.0,0.0
275,L275_367,21299.8,9.0,430.0,0.0,0.0
276,L276_368,33354.19,6.0,689.0,0.0,0.0
277,L277_369,30847.89,24.0,558.0,0.0,0.0
277,L277_370,79581.86,9.0,,1.0,1.0
278,L278_371,122696.95,6.0,1030.0,0.0,0.0
278,L278_372,72237.51,12.0,422.0,0.0,0.0
279,L279_373,,6.0,822.0,0.0,0.0
280,L280_374,23008.45,6.0,771.0,0.0,0.0
280,L280_375,32531.98,6.0,1227.0,0.0,0.0
280,L280_376,30508.62,3.0,1054.0,0.0,0.0
281,L281_377,36396.79,18.0,985.0,1.0,1.0
281,L281_378,46413.41,9.0,1547.0,0.0,0.0
282,L282_379,36140.27,24.0,1097.0,1.0,3.0
283,L283_380,99721.15,9.0,219.0,1.0,15.0
283,L283_381,63251.87,12.0,772.0,0.0,0.0
283,L283_382,147567.63,3.0,1222.0,0.0,0.0
284,L284_383,71318.44,36.0,1237.0,0.0,0.0
284,L284_384,36406.57,12.0,302.0,0.0,0.0
284,L284_385,48658.33,36.0,,0.0,0.0
284,L284_386,50453.95,9.0,564.0,0.0,0.0
285,L285_387,59819.69,36.0,44.0,0.0,0.0
285,L285_388,63080.41,6.0,1215.0,0.0,0.0
286,L286_389,22331.91,18.0,99.0,1.0,1.0
287,L287_390,70193.48,9.0,1026.0,1.0,30.0
287,L287_391,40707.95,12.0,834.0,0.0,0.0
289,L289_392,49588.03,9.0,1025.0,0.0,0.0
290,L290_393,28138.59,6.0,,0.0,0.0
291,L291_394,53261.59,36.0,105.0,0.0,0.0
294,L294_395,79093.71,6.0,1065.0,0.0,0.0
294,L294_396,23595.47,24.0,1536.0,0.0,
294,L294_397,32869.01,12.0,1181.0,1.0,30.0
295,L295_398,83086.48,24.0,357.0,0.0,0.0
295,L295_399,43167.88,6.0,992.0,0.0,0.0
295,L295_400,79681.95,12.0,1095.0,0.0,0.0
296,L296_401,83829.26,6.0,117.0,1.0,7.0
297,L297_402,,9.0,1356.0,0.0,0.0
298,L298_403,80543.66,36.0,944.0,0.0,0.0
299,L299_404,11843.4,6.0,1035.0,1.0,1.0
299,L299_405,54124.68,12.0,432.0,0.0,0.0
300,L300_406,33692.71,,651.0,1.0,1.0
300,L300_407,28661.73,18.0,560.0,0.0,0.0
301,L301_408,28607.03,9.0,,0.0,0.0
302,L302_409,117484.77,24.0,180.0,0.0,0.0
302,L302_410,29491.55,12.0,296.0,0.0,0.0
303,L303_411,89274.86,24.0,635.0,0.0,0.0
304,L304_412,33958.77,6.0,243.0,1.0,15.0
304,L304_413,23590.38,6.0,282.0,0.0,
305,L305_414,40366.89,9.0,417.0,1.0,3.0
305,L305_415,24813.18,18.0,248.0,0.0,0.0
306,L306_416,35693.38,3.0,754.0,1.0,30.0
307,L307_417,110941.33,9.0,551.0,0.0,0.0
308,L308_418,50779.48,6.0,1578.0,0.0,0.0
308,L308_419,50096.53,24.0,316.0,0.0,0.0
308,L308_420,20605.84,3.0,21.0,0.0,0.0
308,L308_421,104459.13,,440.0,1.0,7.0
308,L308_422,24893.28,12.0,646.0,1.0,30.0
309,L309_423,43438.15,9.0,298.0,1.0,30.0
309,L309_424,51541.7,18.0,1067.0,0.0,0.0
309,L309_425,62601.65,3.0,43.0,0.0,0.0
309,L309_426,34959.42,6.0,1238.0,0.0,0.0
312,L312_427,51161.25,3.0,1031.0,0.0,0.0
312,L312_428,22072.1,6.0,482.0,0.0,0.0
313,L313_429,75480.76,,574.0,0.0,0.0
313,L313_430,36025.72,9.0,380.0,0.0,0.0
316,L316_431,40742.95,9.0,1541.0,1.0,3.0
317,L317_432,33798.43,24.0,165.0,0.0,0.0
319,L319_433,54294.3,18.0,403.0,0.0,0.0
321,L321_434,26982.78,36.0,941.0,0.0,0.0
321,L321_435,55426.53,12.0,430.0,1.0,30.0
323,L323_436,53957.62,3.0,179.0,0.0,0.0
324,L324_437,97440.46,,486.0,0.0,0.0
324,L324_438,46658.24,9.0,800.0,0.0,0.0
324,L324_439,26331.18,36.0,636.0,,0.0
324,L324_440,29487.7,18.0,928.0,0.0,0.0
325,L325_441,38946.15,3.0,1098.0,0.0,0.0
329,L329_442,,,1449.0,,0.0
332,L332_443,47609.17,6.0,186.0,1.0,60.0
333,L333_444,39209.92,36.0,358.0,0.0,0.0
333,L333_445,76942.83,12.0,965.0,0.0,0.0
337,L337_446,55971.28,36.0,928.0,0.0,0.0
337,L337_447,85882.45,12.0,242.0,0.0,0.0
339,L339_448,102040.11,36.0,687.0,0.0,0.0
342,L342_449,43420.54,3.0,514.0,0.0,0.0
342,L342_450,86009.87,12.0,902.0,0.0,0.0
344,L344_451,69350.92,36.0,606.0,1.0,30.0
344,L344_452,110569.0,6.0,1161.0,0.0,0.0
345,L345_453,17793.57,12.0,241.0,0.0,0.0
346,L346_454,37544.8,24.0,104.0,0.0,0.0
346,L346_455,32271.9,9.0,630.0,0.0,0.0
346,L346_456,,24.0,1262.0,0.0,0.0
347,L347_457,33425.18,6.0,85.0,0.0,0.0
348,L348_458,65729.75,12.0,724.0,0.0,0.0
349,L349_459,68437.18,6.0,1020.0,1.0,30.0
350,L350_460,103538.82,12.0,381.0,0.0,0.0
350,L350_461,32763.28,,723.0,0.0,0.0
351,L351_462,46153.83,24.0,1362.0,1.0,30.0
352,L352_463,207519.33,6.0,519.0,0.0,0.0
353,L353_464,34816.35,9.0,1438.0,0.0,0.0
353,L353_465,,9.0,243.0,1.0,1.0
354,L354_466,86341.65,24.0,1314.0,0.0,0.0
354,L354_467,34725.99,36.0,1040.0,0.0,0.0
355,L355_468,89114.04,,1596.0,0.0,0.0
355,L355_469,79633.3,18.0,1415.0,0.0,0.0
355,L355_470,83077.68,12.0,451.0,0.0,0.0
356,L356_471,50085.12,18.0,1073.0,1.0,3.0
356,L356_472,21933.74,6.0,440.0,0.0,0.0
356,L356_473,23846.8,3.0,524.0,0.0,0.0
357,L357_474,55660.78,12.0,570.0,0.0,0.0
358,L358_475,,12.0,1118.0,1.0,60.0
359,L359_476,32457.14,3.0,1165.0,1.0,3.0
359,L359_477,52499.96,9.0,1599.0,0.0,0.0
359,L359_478,35364.47,6.0,34.0,0.0,0.0
360,L360_479,73625.16,12.0,247.0,1.0,1.0
362,L362_480,61487.29,12.0,1554.0,0.0,0.0
363,L363_481,29726.15,6.0,692.0,0.0,0.0
363,L363_482,13620.39,36.0,1361.0,1.0,7.0
365,L365_483,24406.82,6.0,1214.0,1.0,15.0
365,L365_484,45410.95,24.0,1476.0,0.0,0.0
365,L365_485,59729.63,18.0,752.0,0.0,0.0
366,L366_486,117369.37,6.0,783.0,0.0,0.0
366,L366_487,89265.6,18.0,1238.0,0.0,0.0
366,L366_488,62812.48,12.0,562.0,0.0,0.0
367,L367_489,41928.79,18.0,701.0,1.0,3.0
368,L368_490,75887.01,12.0,705.0,1.0,7.0
368,L368_491,51016.2,6.0,590.0,0.0,0.0
370,L370_492,17740.32,9.0,862.0,1.0,
370,L370_493,33420.12,9.0,599.0,1.0,30.0
370,L370_494,63512.85,9.0,587.0,0.0,0.0
370,L370_495,46952.05,18.0,561.0,0.0,0.0
370,L370_496,107212.76,12.0,1279.0,0.0,0.0
371,L371_497,74335.59,6.0,,0.0,0.0
372,L372_498,59377.46,24.0,,0.0,0.0
