application_id,client_id,employment_type,hash_id,region_coefficient_extended,age,incoming_amount,internal_decision_code,monthly_income,application_date,education,requested_product,channel,loan_amount,marketing_segment,post_loan_collection_score,region_coefficient,region,interest_rate,months_at_job,dependents,days_until_first_overdue,loan_term_months,siberia_northern_score,target
105488,5488,self_employed,41447962.0,0.0,29.0,25606.25,approved_auto,25606.25,2025-05-27,bachelor,cash,partner,60161.67,segment_053,579.05,1.0,west,0.2668,70.0,0.0,,,0.832476,1
103654,3654,employee,75770565.0,0.0,53.0,31299.35,approved_manual,31299.35,2025-06-26,college,cash,office,74727.98,segment_026,,1.0,siberia,0.2621,162.0,0.0,1001.0,18.0,0.269198,0
106822,6822,contractor,45969945.0,0.0,54.0,,approved_auto,22957.16,2025-08-17,college,auto,partner,92359.05,,277.63,1.0,west,0.1448,59.0,1.0,60.0,12.0,,0
107638,7638,self_employed,39892096.0,0.0,67.0,18000.0,approved_auto,18000.0,2025-10-09,bachelor,cash,office,99761.66,segment_091,271.43,1.0,west,0.2628,63.0,0.0,1001.0,,0.795409,0
103465,3465,,34637902.0,0.0,58.0,24694.34,approved_manual,24694.34,2025-04-06,bachelor,card,partner,60612.76,,,1.0,north,0.1655,161.0,0.0,1000.0,12.0,0.892528,0
104668,4668,self_employed,,0.0,51.0,18000.0,approved_auto,18000.0,2025-03-22,college,card,mobile,57072.17,segment_001,,1.0,west,0.1168,69.0,1.0,1000.0,9.0,0.327673,0
108305,8305,unemployed,73417504.0,0.0,64.0,25882.47,,25882.47,2025-06-07,school,cash,mobile,35393.46,segment_108,,1.0,north,0.48,0.0,0.0,,,0.159791,1
108852,8852,employee,41898688.0,1.0,24.0,28708.27,approved_auto,28708.27,2025-09-08,school,cash,,59495.34,segment_139,,,center,0.1996,40.0,3.0,116.0,18.0,0.683063,1
106378,6378,employee,21755627.0,0.0,50.0,37672.94,approved_auto,37672.94,2025-09-05,,refinance,mobile,74039.69,,370.03,1.0,south,0.2464,,0.0,999.0,18.0,0.947651,0
106477,6477,self_employed,62909644.0,0.0,21.0,21003.86,,21003.86,2025-06-01,college,card,partner,37537.26,segment_069,551.62,1.0,north,0.3162,2.0,2.0,1001.0,24.0,0.576974,0
105139,5139,employee,38574128.0,0.0,40.0,25722.12,approved_auto,25722.12,2025-05-22,college,pos,mobile,34642.6,segment_054,386.91,1.0,siberia,,118.0,1.0,999.0,,0.188193,0
107134,7134,employee,78418380.0,0.0,55.0,95606.67,approved_manual,95606.67,2025-10-16,bachelor,cash,web,146398.98,segment_034,460.95,,center,0.2619,187.0,0.0,999.0,18.0,0.851383,0
107061,7061,,94173379.0,0.0,30.0,,approved_auto,79174.05,2025-12-28,college,refinance,call_center,22462.74,segment_138,561.26,1.0,south,0.1481,28.0,1.0,,12.0,0.339657,0
105318,5318,self_employed,30013302.0,0.0,46.0,40072.43,approved_auto,40072.43,2025-07-08,bachelor,card,,43713.35,segment_142,311.52,1.0,south,0.3679,106.0,0.0,30.0,36.0,0.041405,0
100268,268,employee,40113443.0,0.0,45.0,,late_flag,41158.29,2025-06-11,college,refinance,office,45748.29,segment_011,146.05,1.0,east,0.2277,156.0,0.0,1002.0,12.0,0.960586,0
107999,7999,employee,19444348.0,0.0,24.0,54750.31,late_flag,54750.31,2025-05-06,school,cash,web,51694.67,segment_068,,1.0,north,0.3605,42.0,1.0,1001.0,36.0,0.246391,0
106050,6050,,86223323.0,0.0,43.0,,late_flag,28833.94,2025-04-25,bachelor,card,web,20000.0,segment_038,797.46,1.0,ural,0.2205,109.0,0.0,18.0,12.0,0.711353,1
100094,94,contractor,86860378.0,0.0,35.0,35132.95,approved_manual,35132.95,2025-03-23,college,pos,web,34033.62,segment_076,,1.0,east,0.2695,90.0,0.0,,18.0,0.164249,0
104491,4491,unemployed,70850085.0,0.0,46.0,33026.01,,33026.01,2025-07-26,college,cash,mobile,175042.29,segment_123,246.34,1.0,south,0.3591,11.0,1.0,120.0,24.0,0.285267,1
100249,249,employee,42028090.0,0.0,60.0,51576.71,approved_manual,51576.71,2025-06-22,,card,office,63989.08,segment_088,649.52,1.0,south,0.3922,176.0,0.0,1001.0,36.0,0.721261,0
106046,6046,self_employed,40050095.0,0.0,35.0,,approved_manual,45278.39,2025-05-02,,cash,web,64787.29,segment_131,,1.0,east,0.1456,110.0,4.0,1000.0,6.0,0.910079,0
101088,1088,employee,57040230.0,0.0,41.0,46413.46,,46413.46,2025-03-09,college,auto,office,46667.06,segment_138,172.04,1.0,west,0.1688,106.0,0.0,999.0,12.0,0.464556,0
101211,1211,employee,45980954.0,0.0,34.0,44742.76,,44742.76,2025-05-03,master,refinance,mobile,85025.36,segment_095,356.23,1.0,center,0.2179,140.0,0.0,1000.0,12.0,0.85261,0
100748,748,employee,89379169.0,0.0,,20814.97,,20814.97,2025-02-09,bachelor,card,office,49878.08,segment_089,376.2,1.0,siberia,0.1763,221.0,0.0,1000.0,12.0,0.07444,0
100701,701,employee,13313150.0,0.0,39.0,41016.25,approved_auto,41016.25,2025-12-19,college,,mobile,78311.54,segment_104,367.61,1.0,south,0.4167,111.0,2.0,,36.0,0.875432,0
106788,6788,contractor,,0.0,22.0,42058.61,collections,42058.61,2025-12-20,,pos,office,52179.78,segment_047,680.59,1.0,north,0.1546,35.0,,128.0,6.0,,1
104192,4192,contractor,53908015.0,0.0,42.0,18000.0,late_flag,18000.0,2025-02-14,school,cash,partner,86939.14,segment_134,563.19,1.0,west,0.1377,39.0,0.0,999.0,12.0,0.62935,1
102871,2871,unemployed,83923002.0,0.0,60.0,18000.0,manual_review_bad,18000.0,2025-06-08,college,refinance,call_center,54061.51,segment_012,483.59,1.0,ural,0.3327,36.0,1.0,,24.0,0.455507,0
100669,669,employee,90128952.0,0.0,29.0,44712.79,,44712.79,2025-06-11,bachelor,pos,call_center,121215.55,segment_045,975.56,1.0,west,,29.0,,130.0,9.0,0.061524,1
101731,1731,employee,58866840.0,0.0,63.0,32100.07,late_flag,32100.07,2025-12-24,master,auto,office,55541.42,segment_053,,1.0,center,0.2221,70.0,1.0,81.0,18.0,0.173049,1
100319,319,employee,12702918.0,,23.0,20036.88,approved_manual,20036.88,2025-12-05,college,pos,office,,segment_000,872.2,1.0,west,0.2388,41.0,1.0,33.0,18.0,0.196155,1
101528,1528,employee,,0.0,35.0,38477.94,vip,38477.94,,college,cash,web,68166.88,segment_139,0.0,1.0,,0.149,114.0,0.0,999.0,6.0,0.443864,0
100677,677,employee,48109396.0,0.0,39.0,43348.42,collections,43348.42,,bachelor,cash,partner,23666.62,segment_043,760.66,1.0,center,0.2552,26.0,1.0,99.0,12.0,0.662754,1
106206,6206,business,30244832.0,0.0,,52484.55,late_flag,52484.55,2025-05-25,bachelor,refinance,call_center,90993.72,segment_053,835.31,1.0,west,0.2075,89.0,0.0,34.0,12.0,0.066758,1
101929,1929,employee,37353910.0,0.0,59.0,53851.81,approved_manual,53851.81,2025-12-21,college,,partner,162310.37,segment_086,356.17,1.0,siberia,0.1689,274.0,0.0,365.0,,0.675844,0
100648,648,employee,,0.0,,42542.21,approved_auto,42542.21,,school,refinance,call_center,55919.21,segment_016,,1.0,siberia,0.2035,43.0,0.0,1001.0,12.0,0.660763,0
101993,1993,employee,19059895.0,0.0,65.0,18401.6,,18401.6,2025-08-29,college,card,mobile,49900.89,segment_003,,1.0,south,0.1719,,0.0,1000.0,12.0,0.366256,0
100081,81,employee,61431149.0,0.0,39.0,20280.07,,20280.07,2025-11-16,master,cash,partner,130606.88,segment_001,567.89,1.0,east,0.4022,56.0,1.0,,36.0,,0
100767,767,self_employed,53574488.0,0.0,24.0,42451.69,late_flag,42451.69,2025-02-20,school,,mobile,86373.27,segment_003,717.97,1.0,east,0.3662,,1.0,42.0,36.0,0.900467,1
106322,6322,employee,88613493.0,0.0,56.0,20331.11,late_flag,20331.11,2025-01-08,college,,partner,,segment_075,608.37,,west,0.3204,368.0,0.0,41.0,24.0,0.290281,1
101643,1643,employee,63473369.0,0.0,41.0,59968.38,approved_auto,59968.38,2025-10-05,bachelor,pos,mobile,57337.41,segment_114,254.29,1.0,south,0.2297,136.0,2.0,1002.0,12.0,0.289259,0
105793,5793,business,46422035.0,0.0,32.0,49661.2,approved_auto,49661.2,2025-08-16,school,cash,mobile,21733.53,segment_063,446.5,1.0,east,0.2322,77.0,0.0,1002.0,12.0,0.017,0
106825,6825,,66441927.0,0.0,63.0,40525.7,collections,40525.7,2025-12-03,bachelor,cash,web,62623.12,,,1.0,south,0.4025,229.0,0.0,1000.0,36.0,0.094573,0
103002,3002,employee,76346785.0,0.0,65.0,19477.31,manual_review_bad,19477.31,2025-08-20,bachelor,cash,,57615.43,segment_033,703.44,1.0,center,0.1448,50.0,1.0,100.0,9.0,0.71781,1
104447,4447,business,28614794.0,0.0,21.0,44809.05,approved_auto,44809.05,,bachelor,cash,,51127.46,segment_106,469.84,1.0,ural,0.192,5.0,,,12.0,0.744662,0
101878,1878,employee,96387542.0,0.0,56.0,22221.47,approved_manual,22221.47,2025-07-24,school,pos,partner,35762.88,segment_069,,1.0,ural,0.297,199.0,1.0,1000.0,18.0,0.786085,0
105594,5594,employee,20141953.0,0.0,54.0,36698.03,approved_auto,36698.03,2025-08-05,college,auto,web,,segment_066,334.48,1.0,siberia,0.48,207.0,1.0,1000.0,48.0,0.250564,0
108768,8768,employee,66882211.0,0.0,34.0,44882.71,collections,44882.71,2025-03-07,bachelor,card,web,93216.38,segment_121,673.53,1.0,,0.1545,33.0,2.0,,6.0,0.889937,1
106190,6190,employee,16625629.0,0.0,52.0,27069.73,approved_auto,27069.73,2025-11-21,college,cash,call_center,76899.63,segment_034,311.13,1.0,siberia,0.2393,145.0,,999.0,18.0,0.493459,0
107516,7516,employee,35796217.0,0.0,64.0,30075.02,approved_manual,30075.02,2025-11-25,bachelor,,partner,73227.77,,685.75,1.0,north,0.316,304.0,2.0,999.0,24.0,0.951355,0
108408,8408,business,53670762.0,0.0,43.0,143306.39,approved_auto,143306.39,2025-03-26,college,refinance,partner,79219.26,segment_070,,1.0,west,0.2157,9.0,2.0,1001.0,12.0,0.371131,0
105949,5949,business,78376349.0,0.0,30.0,33444.52,approved_auto,33444.52,2025-05-11,college,pos,mobile,62178.43,,832.01,1.0,south,0.2577,5.0,1.0,180.0,18.0,0.859199,0
106518,6518,employee,90312907.0,0.0,31.0,40319.53,,40319.53,2025-04-23,college,card,web,,segment_126,,1.0,,0.2741,,2.0,1000.0,24.0,0.34755,0
101045,1045,self_employed,17593005.0,0.0,27.0,48155.34,approved_manual,48155.34,2025-03-30,school,pos,call_center,63129.01,segment_033,671.91,1.0,center,0.2535,54.0,0.0,999.0,18.0,0.173952,0
103781,3781,self_employed,95022359.0,0.0,42.0,30776.27,,30776.27,2025-10-04,,card,partner,77271.36,segment_093,711.54,1.0,north,0.1802,89.0,1.0,,12.0,0.741006,1
107245,7245,unemployed,61118336.0,,53.0,,approved_auto,18000.0,2025-08-18,school,auto,web,20000.0,segment_010,505.88,1.0,north,,34.0,0.0,,12.0,0.386148,0
105759,5759,employee,77000134.0,0.0,61.0,30174.95,manual_review_bad,30174.95,2025-06-20,,cash,web,68664.51,segment_118,,1.0,center,0.1769,204.0,1.0,14.0,12.0,,1
105289,5289,contractor,36002541.0,0.0,,,collections,22085.02,2025-11-03,college,pos,partner,30215.57,segment_040,802.82,1.0,east,0.2009,62.0,1.0,30.0,12.0,0.890038,1
100519,519,employee,51275714.0,0.0,38.0,50379.21,late_flag,50379.21,2025-04-20,college,cash,partner,,segment_017,,1.0,south,0.3539,32.0,0.0,1002.0,36.0,0.853401,0
107899,7899,employee,67014927.0,0.0,41.0,18000.0,,18000.0,2025-10-07,master,pos,,117685.74,segment_080,81.88,1.0,center,0.3836,32.0,1.0,180.0,36.0,0.455582,0
102089,2089,employee,53544426.0,0.0,57.0,,approved_manual,67162.29,2025-10-16,bachelor,cash,partner,78661.07,,,1.0,north,,166.0,0.0,1002.0,36.0,0.912265,0
108967,8967,business,81749241.0,0.0,58.0,56763.3,manual_review_bad,56763.3,,master,refinance,mobile,166598.34,segment_136,270.86,1.0,ural,0.3162,138.0,1.0,,24.0,0.662669,0
100564,564,business,38017634.0,0.0,40.0,,approved_auto,75583.43,2025-08-06,bachelor,pos,call_center,67527.84,,652.59,1.0,south,0.2044,0.0,2.0,999.0,12.0,0.514176,0
107318,7318,employee,30403800.0,0.0,,39715.91,,39715.91,2025-08-29,college,auto,web,39676.92,segment_012,401.16,1.0,south,0.2237,226.0,2.0,1001.0,18.0,0.296467,0
101845,1845,employee,43327773.0,0.0,,22918.97,approved_manual,22918.97,2025-04-14,college,card,mobile,36884.04,segment_134,417.17,,east,0.2724,85.0,1.0,180.0,,0.183683,0
101181,1181,contractor,87077385.0,0.0,46.0,51008.82,manual_review_bad,51008.82,2025-02-25,college,cash,web,178132.47,segment_090,639.77,1.0,west,0.3787,41.0,0.0,,36.0,0.255144,1
101748,1748,employee,87097133.0,1.0,21.0,,approved_auto,47611.93,,school,cash,mobile,64292.38,segment_139,285.55,1.0,siberia,0.1313,0.0,0.0,1001.0,6.0,0.489599,0
105203,5203,unemployed,36665568.0,0.0,34.0,18000.0,manual_review_bad,18000.0,2025-08-21,bachelor,cash,partner,35723.59,segment_135,799.48,,,0.4439,18.0,,180.0,,0.660911,1
102684,2684,employee,87980540.0,0.0,44.0,38787.61,late_flag,38787.61,,bachelor,pos,partner,62244.03,segment_044,,1.0,north,0.2923,136.0,1.0,,24.0,0.425552,1
101373,1373,unemployed,47715319.0,0.0,52.0,32536.97,approved_auto,32536.97,2025-03-05,bachelor,refinance,partner,,segment_146,702.0,1.0,south,0.1665,14.0,0.0,78.0,,0.087518,1
103947,3947,employee,81528158.0,0.0,,19363.31,late_flag,19363.31,2025-03-23,bachelor,cash,mobile,67841.25,segment_045,566.69,1.0,west,0.3071,68.0,1.0,,24.0,0.445321,1
102261,2261,employee,23719733.0,0.0,25.0,26204.69,,26204.69,2025-06-22,college,card,mobile,69075.72,segment_043,410.25,1.0,east,0.415,34.0,0.0,1001.0,36.0,0.86766,0
100625,625,employee,34280711.0,0.0,40.0,56215.91,,56215.91,2025-03-25,school,refinance,call_center,84646.69,segment_056,,1.0,east,,,0.0,180.0,24.0,0.721027,0
105852,5852,employee,12268446.0,,34.0,26917.44,approved_manual,26917.44,,master,cash,mobile,95763.02,segment_074,58.44,1.0,,0.1902,73.0,,1002.0,,0.068458,0
100764,764,employee,53099143.0,0.0,26.0,33829.78,manual_review_bad,33829.78,2025-10-14,school,cash,mobile,60186.08,segment_014,731.73,1.0,ural,0.48,46.0,1.0,4.0,48.0,,1
108157,8157,employee,53691568.0,0.0,63.0,32922.61,approved_auto,32922.61,2025-10-02,college,cash,partner,69434.03,segment_110,410.31,1.0,siberia,0.2076,104.0,2.0,,12.0,0.732902,0
106931,6931,employee,12994348.0,0.0,64.0,22240.44,approved_auto,22240.44,2025-04-09,,cash,mobile,41816.48,segment_002,594.31,1.0,west,0.3662,241.0,2.0,999.0,36.0,0.808126,0
108734,8734,employee,57654438.0,0.0,,35233.04,late_flag,,,master,cash,partner,83593.52,segment_038,843.84,1.0,center,0.4641,312.0,1.0,,,0.086592,1
101700,1700,employee,96072642.0,0.0,41.0,25661.2,collections,25661.2,2025-08-14,school,cash,web,154663.95,segment_121,725.98,1.0,north,0.3168,178.0,1.0,99.0,24.0,0.615934,1
100316,316,employee,10218770.0,0.0,54.0,33112.54,late_flag,33112.54,2025-06-18,bachelor,pos,,54171.32,segment_112,466.76,1.0,center,0.2902,180.0,2.0,180.0,24.0,0.598945,0
107341,7341,,63266124.0,0.0,24.0,18000.0,approved_auto,18000.0,2025-04-11,school,cash,partner,31018.9,segment_016,102.63,1.0,,0.1536,19.0,0.0,999.0,6.0,0.165601,0
101570,1570,employee,42369475.0,0.0,21.0,20370.41,approved_auto,20370.41,2025-06-23,bachelor,refinance,office,70703.26,segment_055,,1.0,west,0.278,32.0,1.0,1000.0,18.0,0.744166,0
107195,7195,employee,53664157.0,0.0,49.0,44769.85,approved_auto,44769.85,2025-08-14,master,card,web,39789.07,segment_049,241.96,1.0,south,0.2458,254.0,0.0,1001.0,24.0,0.647457,0
106396,6396,employee,,0.0,46.0,,approved_auto,18000.0,2025-04-13,master,cash,office,56010.54,segment_059,260.6,1.0,center,,91.0,,1000.0,18.0,,0
104148,4148,employee,46730148.0,0.0,60.0,58607.39,approved_auto,58607.39,2025-01-22,bachelor,pos,web,94969.68,segment_063,298.49,1.0,center,0.2871,38.0,1.0,,24.0,0.431226,0
101963,1963,employee,75682183.0,0.0,47.0,27910.3,manual_review_bad,27910.3,2025-12-22,master,cash,,71818.44,segment_127,,1.0,siberia,,40.0,0.0,365.0,12.0,0.678408,0
106251,6251,employee,94054144.0,0.0,61.0,38317.58,approved_manual,38317.58,2025-08-30,master,auto,call_center,30432.16,segment_144,,1.0,siberia,0.162,318.0,0.0,730.0,9.0,0.51791,0
100624,624,contractor,15746891.0,0.0,66.0,18000.0,approved_manual,18000.0,2025-05-12,bachelor,refinance,web,46377.86,segment_073,355.83,1.0,west,0.48,134.0,1.0,999.0,48.0,0.612435,0
100765,765,business,14989141.0,0.0,62.0,73528.33,,73528.33,2025-06-23,college,cash,web,59501.11,segment_083,413.01,1.0,south,0.3767,231.0,0.0,1001.0,36.0,0.478948,0
101650,1650,employee,,0.0,,78559.49,,78559.49,2025-12-14,master,,mobile,56052.76,segment_060,,1.0,center,0.4425,57.0,0.0,60.0,48.0,0.145437,0
104221,4221,business,65813708.0,,25.0,29815.17,approved_manual,29815.17,2025-12-27,master,cash,mobile,39678.9,segment_139,159.44,1.0,north,0.1659,31.0,0.0,730.0,12.0,0.011672,0
104708,4708,employee,84226438.0,0.0,43.0,,manual_review_bad,19430.26,2025-02-22,college,pos,web,81833.95,segment_091,,1.0,west,0.2908,108.0,0.0,133.0,24.0,0.362849,1
107447,7447,employee,13549818.0,0.0,39.0,27085.48,approved_manual,,2025-12-24,,cash,office,87489.01,segment_004,232.86,1.0,west,0.2051,47.0,1.0,999.0,9.0,0.263438,0
102555,2555,employee,26286237.0,0.0,28.0,45680.57,collections,45680.57,2025-10-17,bachelor,cash,mobile,108840.99,segment_122,364.1,1.0,west,0.4284,55.0,2.0,1000.0,,,0
107696,7696,employee,17151003.0,0.0,22.0,103504.97,,103504.97,2025-02-10,bachelor,card,web,32082.54,,672.3,1.0,ural,0.2251,13.0,,12.0,18.0,0.754005,1
106900,6900,employee,80232568.0,0.0,45.0,,collections,26966.71,2025-07-01,college,pos,web,61824.75,segment_148,,1.0,center,0.48,21.0,1.0,62.0,48.0,0.627507,1
106658,6658,unemployed,67251792.0,0.0,22.0,30086.73,manual_review_bad,30086.73,2025-11-27,school,card,mobile,,segment_053,733.22,1.0,south,0.1983,22.0,,83.0,6.0,0.273349,1
105522,5522,business,36098642.0,0.0,62.0,49002.2,approved_auto,49002.2,2025-03-13,college,pos,partner,139682.28,segment_101,195.97,1.0,south,0.4773,99.0,0.0,999.0,48.0,0.46097,0
107975,7975,employee,28999653.0,0.0,25.0,51002.64,,,2025-07-25,college,card,office,20000.0,segment_091,731.05,1.0,siberia,0.1123,34.0,1.0,60.0,6.0,0.174281,1
102466,2466,employee,95540082.0,0.0,54.0,37132.06,approved_auto,37132.06,2025-11-08,master,cash,mobile,47289.4,segment_125,463.5,1.0,west,0.4426,,2.0,,36.0,0.27444,0
107781,7781,self_employed,46767749.0,0.0,42.0,38681.11,approved_manual,38681.11,2025-11-18,,card,call_center,67592.76,,,,center,0.2536,43.0,1.0,1000.0,18.0,0.806258,0
100089,89,employee,17536450.0,0.0,38.0,20388.24,approved_manual,20388.24,2025-05-28,school,refinance,web,46398.38,segment_144,265.3,1.0,south,0.2835,139.0,0.0,1000.0,24.0,0.290783,0
101721,1721,employee,,0.0,62.0,44356.71,approved_auto,,2025-08-15,master,card,partner,50405.66,segment_122,302.72,1.0,siberia,0.2898,360.0,0.0,30.0,24.0,0.569153,0
106004,6004,business,94722952.0,0.0,39.0,32551.62,approved_manual,32551.62,2025-02-21,school,cash,call_center,29527.47,segment_081,,1.0,ural,0.2678,79.0,0.0,999.0,18.0,0.656406,0
106795,6795,employee,41970433.0,0.0,23.0,24821.1,approved_auto,24821.1,2025-05-09,college,,partner,57958.64,segment_034,0.0,1.0,east,0.235,59.0,1.0,,18.0,0.637809,0
100621,621,employee,48142336.0,0.0,37.0,49606.77,approved_auto,49606.77,,college,cash,office,41113.23,segment_085,696.29,1.0,west,0.3802,29.0,3.0,83.0,36.0,0.043335,1
100941,941,unemployed,29766909.0,0.0,40.0,,manual_review_bad,22112.95,2025-07-02,college,refinance,web,,segment_084,848.25,1.0,north,0.48,0.0,0.0,,48.0,0.481509,1
107196,7196,,17914721.0,0.0,52.0,48324.1,,48324.1,2025-06-20,bachelor,pos,mobile,,segment_066,588.54,1.0,north,0.2857,39.0,0.0,91.0,18.0,0.154404,1
105210,5210,employee,17340124.0,0.0,31.0,,approved_manual,70522.97,2025-11-14,college,card,partner,59297.56,segment_038,155.75,1.0,north,0.167,80.0,1.0,,9.0,0.993674,0
108455,8455,employee,55696351.0,0.0,,30682.28,approved_auto,30682.28,2025-03-09,bachelor,card,partner,120629.0,segment_040,498.25,1.0,center,,220.0,0.0,999.0,12.0,0.608208,0
101781,1781,self_employed,91666695.0,0.0,48.0,51636.76,late_flag,51636.76,2025-06-04,college,pos,web,27976.32,segment_074,674.31,1.0,east,0.2659,54.0,1.0,133.0,18.0,0.45053,1
103693,3693,,61439600.0,0.0,27.0,32213.08,approved_auto,32213.08,2025-04-13,master,cash,partner,57805.68,segment_149,325.42,1.0,west,0.2269,20.0,,1001.0,18.0,0.44878,0
104957,4957,employee,23795782.0,0.0,58.0,26096.03,approved_auto,26096.03,2025-06-07,school,card,office,82032.7,segment_113,630.0,1.0,north,0.2804,242.0,0.0,999.0,24.0,0.325937,0
105853,5853,self_employed,69538341.0,0.0,24.0,46127.25,late_flag,,2025-03-15,bachelor,cash,office,96152.03,segment_003,361.48,1.0,siberia,0.2214,19.0,2.0,1001.0,,0.730919,0
106081,6081,employee,19721019.0,0.0,65.0,30376.65,manual_review_bad,30376.65,,bachelor,refinance,web,52256.39,segment_063,,1.0,center,0.2535,232.0,2.0,137.0,24.0,0.382808,1
102848,2848,employee,77732791.0,0.0,40.0,26631.21,approved_auto,26631.21,,bachelor,cash,office,58548.46,segment_120,0.0,1.0,center,0.3663,44.0,0.0,,36.0,0.359968,0
100170,170,self_employed,88256012.0,0.0,,55243.48,manual_review_bad,55243.48,2025-01-30,bachelor,card,web,88688.73,segment_028,,1.0,west,,58.0,0.0,,24.0,0.859113,0
104205,4205,employee,70088543.0,0.0,56.0,24140.77,manual_review_bad,24140.77,2025-01-28,bachelor,card,,117440.04,segment_064,,1.0,center,0.3519,48.0,0.0,26.0,,0.237778,1
102214,2214,employee,92866690.0,0.0,41.0,18000.0,collections,18000.0,2025-03-19,,cash,partner,21754.84,segment_127,827.79,1.0,north,0.177,47.0,0.0,9.0,,0.86927,1
103126,3126,self_employed,40796642.0,0.0,64.0,41203.22,manual_review_bad,41203.22,2025-06-03,school,cash,,143944.37,segment_090,929.14,1.0,east,0.1548,,0.0,112.0,6.0,0.640297,1
104588,4588,self_employed,54803987.0,0.0,54.0,22942.05,manual_review_bad,22942.05,2025-08-31,bachelor,refinance,,110209.75,segment_143,,1.0,ural,0.2107,37.0,1.0,1001.0,18.0,0.614209,0
100587,587,employee,62261531.0,0.0,47.0,28924.15,late_flag,28924.15,2025-11-13,,cash,web,58860.43,segment_136,810.5,1.0,north,0.337,26.0,1.0,1001.0,24.0,0.555929,0
108565,8565,employee,57213768.0,0.0,51.0,29941.12,approved_manual,29941.12,2025-11-04,bachelor,cash,office,152677.52,segment_034,513.55,1.0,east,0.2851,,0.0,,24.0,0.444816,0
104152,4152,employee,69572188.0,0.0,60.0,27789.84,approved_auto,,2025-06-13,bachelor,cash,call_center,,,186.93,1.0,siberia,0.238,116.0,2.0,,,0.443606,0
104681,4681,unemployed,50105377.0,0.0,26.0,,late_flag,18000.0,2025-07-29,bachelor,refinance,mobile,153176.78,segment_137,,1.0,south,0.2064,37.0,2.0,7.0,9.0,,1
104765,4765,,35485674.0,0.0,34.0,23867.28,late_flag,23867.28,2025-02-21,college,card,mobile,,segment_119,843.51,1.0,siberia,0.1838,40.0,1.0,94.0,9.0,0.822157,1
108933,8933,employee,18930552.0,0.0,,40310.55,late_flag,40310.55,2025-06-21,college,card,mobile,94041.36,segment_027,,1.0,north,0.3706,244.0,2.0,148.0,,0.557176,1
104609,4609,employee,25063740.0,,30.0,19694.97,collections,19694.97,2025-10-27,bachelor,cash,partner,23928.85,segment_067,,1.0,,0.2782,58.0,2.0,63.0,24.0,0.928394,1
101058,1058,employee,26451368.0,0.0,53.0,55811.61,,55811.61,2025-07-18,college,card,call_center,30352.47,segment_034,365.67,1.0,siberia,0.1268,42.0,2.0,999.0,6.0,0.570932,0
106454,6454,business,47337402.0,0.0,25.0,90753.81,manual_review_bad,90753.81,2025-04-11,master,card,,52995.74,segment_024,578.26,,ural,0.1521,37.0,1.0,104.0,12.0,0.334013,1
106063,6063,employee,47085226.0,0.0,49.0,26339.43,,26339.43,2025-03-24,,refinance,office,64650.65,segment_037,371.6,1.0,south,0.1568,224.0,0.0,999.0,12.0,0.826383,0
